iter	RMSE
0	0.4589445694
1	0.4277507757
2	0.397964477
3	0.3723615988
4	0.3449333596
5	0.3226014238
6	0.3036282483
7	0.2864258243
8	0.271292313
9	0.2555092104
10	0.2423658718
11	0.229626284
12	0.218931231
13	0.2074900979
14	0.1985112726
15	0.1900834565
16	0.1825038658
17	0.176784105
18	0.1700985999
19	0.1641400457
20	0.1600403716
21	0.1553979976
22	0.1507049771
23	0.1472946729
24	0.1438197523
25	0.1405910915
26	0.1377692039
27	0.1343763126
28	0.1309223398
29	0.1280937272
30	0.1252678015
31	0.1228907274
32	0.1206461545
33	0.1186271992
34	0.1174669346
35	0.1156123947
36	0.1132953253
37	0.1106683583
38	0.1085721811
39	0.1067681329
40	0.1053095034
41	0.1043771506
42	0.1027461283
43	0.1011291601
44	0.1000325596
45	0.09908360779
46	0.09813020421
47	0.09639612082
48	0.09516390342
49	0.09400785125
50	0.09300310232
51	0.09186887307
52	0.09096195817
53	0.09051892232
54	0.08987432171
55	0.08867698296
56	0.08737846235
57	0.08604918662
58	0.08482471574
59	0.08395761592
60	0.08305589075
61	0.08225743471
62	0.08185342354
63	0.08038540295
64	0.07978042059
65	0.07964794454
66	0.07855692217
67	0.07715795379
68	0.07573950174
69	0.07545844146
70	0.07415423056
71	0.07291024213
72	0.07204195568
73	0.07080542735
74	0.06998399051
75	0.06885090302
76	0.06769726386
77	0.06661157968
78	0.06560069333
79	0.06464060819
80	0.06354363919
81	0.06255668036
82	0.06147212989
83	0.0604672673
84	0.05957043338
85	0.05857873185
86	0.05762001224
87	0.05670024676
88	0.05581076489
89	0.05499510816
90	0.05421454935
91	0.05357449673
92	0.05320016567
93	0.05245002792
94	0.05207402344
95	0.05135603743
96	0.05094438622
97	0.05044118563
98	0.04969524528
99	0.04893726201
